region,category,price_value
Moscow,,810.0
Moscow,,810.0
Moscow,,1774.0
Moscow,,810.0
Moscow,молоко,96.0
Moscow,напиток,586.0
Moscow,десерт,69.0
Moscow,,372.0
Moscow,кефир,98.0
Moscow,сметана,105.0
Moscow,,74.0
Moscow,ряженка,157.0
Moscow,молоко,108.0
Moscow,йогурт,74.0
Moscow,йогурт,625.0
Moscow,масло,205.0
Moscow,сыр,276.0
Moscow,,118.0
Moscow,детское,128.0
Moscow,сыр,174.0
Moscow,кефир,157.0
Moscow,,118.0
Moscow,молоко,183.0
Moscow,,59.0
Moscow,йогурт,98.0
Moscow,йогурт,80.0
Moscow,йогурт,74.0
Moscow,сыр,177.0
Moscow,,505.0
Moscow,,126.0
Moscow,сыр,129.0
Moscow,йогурт,168.0
Moscow,десерт,69.0
Moscow,простокваша,98.0
Moscow,сыр,316.0
Moscow,сыр,16102.0
Moscow,,159.0
Moscow,масло,1310.0
Moscow,сыр,217.0
Moscow,сыр,495.0
Moscow,напиток,187.0
Moscow,сыр,262.0
Moscow,,124.0
Moscow,напиток,5194.0
Moscow,напиток,1345.0
Moscow,молоко,148.0
Moscow,масло,300.0
Moscow,молоко,285.0
Moscow,молоко,1040.0
Moscow,йогурт,528.0
Moscow,сыр,284.0
Moscow,сыр,549.0
Moscow,сыр,592.0
Moscow,сыр,203.0
Moscow,сыр,1176.0
Moscow,,1970.0
Moscow,,138.0
Moscow,напиток,255.0
Moscow,,2366.0
Moscow,сыр,493.0
Moscow,простокваша,118.0
Moscow,молоко,5108.0
Moscow,,807.0
Moscow,напиток,464.0
Moscow,сыр,340.0
Moscow,сыр,2474.0
Moscow,сыр,411.0
Moscow,молоко,118.0
Moscow,масло,245.0
Moscow,напиток,872.0
Moscow,молоко,207.0
Moscow,сливки,2533.0
Moscow,молоко,1376.0
Moscow,,1094.0
Moscow,напиток,316.0
Moscow,молоко,1433.0
Moscow,,1045.0
Moscow,простокваша,168.0
Moscow,,6684.0
Moscow,,1257.0
Moscow,напиток,2610.0
Moscow,,1970.0
Moscow,молоко,2236.0
Moscow,творог,1386.0
Moscow,,1449.0
Moscow,,316.0
Moscow,сметана,406.0
Moscow,сыр,529.0
Moscow,сливки,2574.0
Moscow,напиток,2406.0
Moscow,творог,1475.0
Moscow,молоко,4475.0
Moscow,молоко,3430.0
Moscow,,1098.0
Moscow,сыр,8910.0
Moscow,молоко,8548.0
Moscow,простокваша,138.0
Moscow,сливки,5405.0
Moscow,молоко,954.0
Moscow,молоко,1018.0
Moscow,молоко,1038.0
Moscow,сливки,817.0
Moscow,сыр,217.0
Moscow,,1454.0
Moscow,сыр,625.0
Moscow,йогурт,5227.0
Moscow,молоко,1340.0
Moscow,,1855.0
Moscow,,954.0
Moscow,молоко,233.0
Moscow,молоко,4188.0
Moscow,молоко,3460.0
Moscow,молоко,3861.0
Moscow,молоко,3312.0
Moscow,молоко,959.0
Moscow,молоко,1238.0
Moscow,молоко,1275.0
Moscow,молоко,3505.0
Moscow,напиток,2594.0
Moscow,молоко,4257.0
Moscow,масло,218.0
Moscow,молоко,1521.0
Moscow,молоко,7326.0
Moscow,сливки,1568.0
Moscow,йогурт,5041.0
Moscow,молоко,849.0
Moscow,молоко,1210.0
Moscow,йогурт,78.0
Moscow,,697.0
Moscow,сыр,84.0
Moscow,сыр,1089.0
Moscow,сыр,580.0
Moscow,молоко,1019.0
Moscow,йогурт,94.0
Moscow,молоко,913.0
Moscow,,408.0
Moscow,молоко,926.0
Moscow,,3326.0
Moscow,молоко,784.0
Moscow,сыр,975.0
Moscow,йогурт,128.0
Moscow,молоко,889.0
Moscow,йогурт,98.0
Moscow,йогурт,650.0
Moscow,напиток,1739.0
Moscow,сыр,128.0
Moscow,,689.0
Moscow,молоко,459.0
Moscow,,746.0
Moscow,,78.0
Moscow,сыр,149.0
Moscow,сливки,414.0
Moscow,,78.0
Moscow,ряженка,78.0
Moscow,творог,267.0
Moscow,молоко,1218.0
Moscow,сыр,104.0
Moscow,,852.0
Moscow,сыр,371.0
Moscow,йогурт,84.0
Moscow,молоко,785.0
Moscow,,84.0
Moscow,молоко,390.0
Moscow,напиток,415.0
Moscow,десерт,187.0
Moscow,сыр,396.0
Moscow,сыр,1535.0
Moscow,,1970.0
Moscow,,1901.0
Moscow,,428.0
Moscow,,1680.0
Moscow,сыр,102.0
Moscow,,396.0
Moscow,напиток,1423.0
Moscow,молоко,1188.0
Moscow,,779.0
Moscow,,849.0
Moscow,напиток,177.0
Moscow,йогурт,74.0
Moscow,сыр,1089.0
Moscow,сыр,1089.0
Moscow,йогурт,265.0
Moscow,молоко,873.0
Moscow,сыр,396.0
Moscow,,71.0
Moscow,сыр,380.0
Moscow,йогурт,607.0
Moscow,,428.0
Moscow,сыр,396.0
Moscow,молоко,529.0
Moscow,,831.0
Moscow,напиток,460.0
Moscow,напиток,724.0
Moscow,напиток,415.0
Moscow,масло,1271.0
Moscow,сыр,564.0
Moscow,творог,52.0
Moscow,молоко,358.0
Moscow,молоко,842.0
Moscow,десерт,1431.0
Moscow,напиток,618.0
Moscow,молоко,1188.0
Moscow,творог,668.0
Moscow,масло,1182.0
Moscow,молоко,545.0
Moscow,напиток,641.0
Moscow,творог,464.0
Moscow,сыр,749.0
Moscow,,644.0
Moscow,напиток,261.0
Moscow,напиток,262.0
Moscow,напиток,261.0
Moscow,,1304.0
Moscow,сыр,474.0
Moscow,молоко,320.0
Moscow,,494.0
Moscow,напиток,101.0
,,505.0
,молоко,96.0
,,126.0
,сыр,129.0
,кефир,98.0
,йогурт,168.0
,десерт,69.0
,простокваша,98.0
,сыр,316.0
,сыр,16102.0
,,159.0
,масло,1310.0
,сыр,217.0
,сыр,495.0
,напиток,187.0
,сыр,262.0
,,124.0
,напиток,5194.0
,напиток,1345.0
,молоко,148.0
,масло,300.0
,молоко,285.0
,молоко,1040.0
,йогурт,528.0
,сыр,284.0
,сыр,549.0
,сыр,592.0
,сыр,203.0
,сыр,1176.0
,молоко,183.0
,,1970.0
,,138.0
,масло,205.0
,напиток,255.0
,,2366.0
,сыр,493.0
,простокваша,118.0
,молоко,5108.0
,,807.0
,напиток,464.0
,сыр,340.0
,сыр,2474.0
,сыр,411.0
,молоко,118.0
,масло,245.0
,напиток,872.0
,молоко,207.0
,сливки,2533.0
,молоко,1376.0
,,1094.0
,напиток,316.0
,молоко,1433.0
,,1045.0
,простокваша,168.0
,,6684.0
,,1257.0
,напиток,2610.0
,,1970.0
